,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
1394,BMW X1 sDrive20d,2013,49000,Diesel,Automatic,Second,17.05 kmpl,1995 CC,184 bhp,5.0,297552150.0
1395,Maruti Ritz VDi,2010,71000,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,61605000.0
1399,Mahindra Ssangyong Rexton RX7,2014,65000,Diesel,Automatic,First,11.18 kmpl,2696 CC,184 bhp,7.0,215617500.0
1400,Ford Ecosport 1.5 DV5 MT Titanium Optional,2015,92708,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,153601800.0
1401,Maruti Alto LXi,2010,48105,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,63658500.0
1402,Volkswagen Polo 1.2 MPI Highline,2011,46759,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5.0,52364250.0
1403,Volkswagen Polo Diesel Comfortline 1.2L,2013,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,71872500.0
1404,Volkswagen Polo Diesel Highline 1.2L,2012,35175,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,53185650.0
1405,Maruti Ertiga ZDI,2013,70000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,111915750.0
1407,Toyota Innova Crysta 2.8 ZX AT,2016,66618,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,318087150.0
1409,Maruti Swift Dzire Tour LDI,2017,148000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,97541250.0
1415,Maruti Swift Dzire VDI,2015,76128,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,112942500.0
1417,Hyundai i20 1.2 Spotz,2017,18673,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,127727700.0
1418,Hyundai EON Era Plus,2016,11583,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,56471250.0
1421,Maruti Celerio VXI,2014,77000,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5.0,57498000.0
1422,Chevrolet Beat LT,2014,54890,Petrol,Manual,Second,17.8 kmpl,1199 CC,76.8 bhp,5.0,50310750.0
1425,Renault Duster 110PS Diesel RxL,2014,70000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,169413750.0
1435,Mahindra XUV500 W8 2WD,2012,37000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,159146250.0
1436,Ford Figo Diesel ZXI,2010,90000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,53391000.0
1438,Hyundai i20 Asta 1.2,2015,42575,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,103701750.0
1442,Honda City 1.5 S MT,2009,231673,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,53391000.0
1443,Maruti Alto K10 VXI,2016,10000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,71872500.0
1445,Maruti Celerio VXI AT,2016,12000,Petrol,Automatic,Second,23.1 kmpl,998 CC,67.04 bhp,5.0,87273750.0
1450,Maruti Swift Dzire VXi,2012,49000,Petrol,Manual,First,17.5 kmpl,1298 CC,85.8 bhp,5.0,100621500.0
1454,Chevrolet Cruze LTZ,2014,52895,Diesel,Manual,First,17.3 kmpl,1998 CC,163.7 bhp,5.0,123620699.99999999
1456,Maruti A-Star Vxi,2011,70000,Petrol,Manual,First,19.0 kmpl,998 CC,66.1 bhp,5.0,41070000.0
1459,Maruti Swift Dzire Tour LDI,2014,71800,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,59551500.0
1462,Honda Amaze VX i-DTEC,2016,15388,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,154012500.0
1465,Maruti Ritz VDi,2012,85112,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,69613650.0
1471,Volkswagen Polo 1.2 MPI Highline,2015,22000,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5.0,78033000.0
1482,Toyota Fortuner 3.0 Diesel,2009,92000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,182761500.0
1485,Toyota Fortuner 3.0 Diesel,2019,80000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,184609650.0
1489,Volkswagen Vento Petrol Highline,2013,57197,Petrol,Manual,First,15.04 kmpl,1598 CC,103.6 bhp,5.0,82140000.0
1493,Mahindra XUV500 W8 2WD,2012,75000,Diesel,Manual,Second,15.1 kmpl,2179 CC,140 bhp,7.0,128343750.0
1498,Maruti A-Star Vxi,2011,69000,Petrol,Manual,Second,19.0 kmpl,998 CC,66.1 bhp,5.0,40043250.0
1501,Toyota Fortuner 4x2 AT,2013,123000,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,338827500.0
1504,Maruti Ertiga VDI,2017,43775,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,169824450.0
1510,Maruti Swift Dzire VDI,2013,72486,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,81113250.0
1515,Toyota Innova 2.5 G (Diesel) 8 Seater,2017,29219,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8.0,276811800.0
1518,Honda City 1.5 V MT,2015,32000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,112942500.0
1521,Toyota Innova 2.5 G (Diesel) 8 Seater,2014,194000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,8.0,215617500.0
1522,Honda Brio S MT,2016,14821,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,110272950.0
1527,Hyundai i10 Sportz,2012,49000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,61605000.0
1530,Maruti Swift VDI,2014,56000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,87273750.0
1533,Hyundai Verna 1.6 SX VTVT,2014,48000,Petrol,Manual,Second,17.01 kmpl,1591 CC,121.3 bhp,5.0,106782000.0
1535,Honda City i DTEC SV,2014,65000,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,143539650.0
1536,Volkswagen Vento Diesel Highline,2011,50000,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,102675000.0
1538,Maruti Alto 800 LXI,2015,21000,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,57292650.0
1540,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,2016,68000,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,5.0,202269750.0
1549,Renault Duster 110PS Diesel RxZ,2016,57390,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,138200550.0
1550,Maruti Swift Dzire Tour LDI,2016,100000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,71872500.0
1551,Volkswagen Polo Petrol Highline 1.2L,2011,50000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,48257250.0
1552,Mahindra XUV500 W10 2WD,2017,64961,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,331229550.0
1553,Volkswagen Polo 1.2 MPI Highline,2014,72465,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5.0,121156500.0
1561,Hyundai Creta 1.6 CRDi SX,2017,38767,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,258741000.0
1563,Maruti Alto LXi BSIII,2010,59136,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,60783600.0
1567,Maruti Wagon R VXI BS IV,2011,36411,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,63247800.0
1569,Honda City i VTEC SV,2016,27300,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,143745000.0
1579,Hyundai Grand i10 Asta Option,2015,50000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,118076250.0
1580,Hyundai i10 Magna 1.2,2008,62000,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,5.0,33882750.0
1584,Toyota Fortuner 3.0 Diesel,2010,135000,Diesel,Manual,Second,11.5 kmpl,2982 CC,171 bhp,7.0,225885000.0
1587,Honda Brio S MT,2013,33000,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,66533400.00000001
1590,Honda City i VTEC SV,2015,27030,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,138611250.0
1600,Honda City i VTEC SV,2016,36367,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,158735550.0
1601,Honda City i VTEC V,2015,38000,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5.0,160173000.0
1605,Mahindra XUV500 W10 2WD,2016,54000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,266955000.0
1606,Honda Amaze VX i-DTEC,2015,61691,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,110478300.0
1616,Mahindra XUV500 W10 2WD,2017,57847,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,330202799.99999994
1617,Hyundai i20 1.2 Sportz,2012,52237,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5.0,92407500.0
1618,Hyundai Verna 1.6 SX,2012,128000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,102675000.0
1620,Maruti Celerio VXI AT,2014,49800,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,82140000.0
1622,Maruti Swift VDI BSIV,2015,60095,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,97541250.0
1624,Hyundai i10 Magna 1.2,2010,81402,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,5.0,43123500.0
1627,Maruti Swift VDI BSIV,2017,49224,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,123210000.0
1630,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,2018,2500,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,5.0,261821250.0
1633,Ford Ecosport 1.5 DV5 MT Titanium Optional,2017,75445,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,154833900.0
1645,Maruti Ritz VDi,2010,79894,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,69819000.0
1646,Volkswagen Polo Petrol Highline 1.2L,2011,44748,Petrol,Manual,Second,16.47 kmpl,1198 CC,73.9 bhp,5.0,100416150.0
1649,Toyota Etios Liva GD,2011,32000,Diesel,Manual,First,23.59 kmpl,1364 CC,null bhp,5.0,79059750.0
1650,Honda City 1.5 S MT,2014,43772,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,130397250.0
1651,Hyundai Grand i10 AT Asta,2017,23576,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5.0,145387800.0
1655,Skoda Superb Elegance 1.8 TSI AT,2014,80000,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,220751250.0
1658,Hyundai Verna 1.6 SX VTVT (O),2015,52191,Petrol,Manual,First,17.1 kmpl,1591 CC,121.3 bhp,5.0,159762300.0
1661,Hyundai i10 Magna,2013,21000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,48257250.0
1662,Honda Amaze S i-Dtech,2013,89429,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,74952750.0
1663,Maruti Wagon R LXI,2012,45631,Petrol,Manual,Second,22.5 kmpl,998 CC,67.04 bhp,5.0,56265900.00000001
1664,Honda Brio S MT,2013,53959,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,71872500.0
1668,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,2014,52000,Diesel,Automatic,First,13.0 kmpl,2143 CC,204 bhp,5.0,503107500.0
1671,Maruti Swift VXI,2016,18094,Petrol,Manual,Second,18.6 kmpl,1197 CC,85.8 bhp,5.0,128549100.0
1674,Hyundai i20 1.2 Spotz,2018,22684,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,160173000.0
1675,Honda Brio S MT,2014,43521,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,87273750.0
1680,Maruti Alto K10 VXI,2011,48624,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,66122700.00000001
1681,Volkswagen Polo Diesel Comfortline 1.2L,2014,30000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,66738750.0
1682,Hyundai Grand i10 Sportz,2016,81605,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,93023550.0
1689,BMW 5 Series 520d Luxury Line,2018,32586,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5.0,765955500.0
1692,Hyundai Grand i10 1.2 Kappa Sportz,2018,10393,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,123826050.0
1693,Skoda Superb Elegance 1.8 TSI AT,2011,46000,Petrol,Automatic,First,13.7 kmpl,1798 CC,157.75 bhp,5.0,100621500.0
1701,Toyota Fortuner 3.0 Diesel,2011,146300,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,251553750.0
1702,BMW X1 sDrive20d,2011,62943,Diesel,Automatic,Second,17.05 kmpl,1995 CC,184 bhp,5.0,224858250.0
1703,Toyota Fortuner 4x2 AT,2013,65000,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,338827500.0
1706,Hyundai i20 1.2 Sportz,2012,58000,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5.0,82140000.0
1711,Hyundai Accent GLE,2005,45200,Petrol,Manual,First,13.2 kmpl,1495 CC,94 bhp,5.0,18481500.0
1714,Ford Figo Diesel EXI,2012,55005,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,56471250.0
1718,Maruti Wagon R VXI,2013,67263,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,73926000.0
1720,Hyundai Grand i10 Sportz,2015,36840,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,115817400.0
1730,Maruti Swift Dzire VXI,2016,18000,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,90354000.0
1731,Ford Figo Diesel Titanium,2012,60000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,43123500.0
1734,Maruti Swift Dzire VDI,2014,32000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,89327250.0
1735,Ford Ecosport 1.5 DV5 MT Titanium,2014,62700,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,139638000.0
1736,Maruti Swift Dzire VDi,2010,71000,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5.0,67765500.0
1737,Hyundai Grand i10 Sportz,2016,19947,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,103496400.0
1739,Volkswagen Polo Diesel Highline 1.2L,2014,74000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,117049500.0
1742,Renault Duster 110PS Diesel RxZ,2012,110224,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,125263500.0
1743,Maruti Wagon R LXI,2010,21002,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,56471250.0
1745,Maruti Alto LXi BSIII,2010,73513,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,37989750.0
1748,Renault Duster 110PS Diesel RxL,2013,74755,Diesel,Manual,First,19.6 kmpl,1461 CC,108.45 bhp,5.0,115612050.0
1752,Mahindra XUV500 W8 2WD,2012,88000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,123004650.0
1758,Hyundai i20 1.2 Magna,2011,37442,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,69819000.0
1759,BMW 5 Series 2013-2017 520d Luxury Line,2016,63111,Diesel,Automatic,Second,18.12 kmpl,1995 CC,190 bhp,5.0,632478000.0
1760,Maruti Ertiga ZDI,2012,88000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,120129750.0
1763,Chevrolet Cruze LTZ,2011,65000,Diesel,Manual,First,17.9 kmpl,1998 CC,163.7 bhp,5.0,93434250.0
1765,Maruti Ritz LDi,2011,79232,Diesel,Manual,First,21.1 kmpl,1248 CC,73.9 bhp,5.0,59551500.0
1769,Maruti Swift VDI,2014,75216,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,104728500.0
1770,Hyundai i20 Sportz 1.2,2017,8000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,138611250.0
1772,Maruti Swift VDI,2013,53996,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,111915750.0
1776,Hyundai Verna 1.6 SX VTVT (O),2013,21107,Petrol,Manual,First,17.1 kmpl,1591 CC,121.3 bhp,5.0,107808750.0
1777,Honda City V MT,2014,56000,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,118076250.0
1778,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,2017,19623,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,5.0,269419200.0
1779,Mahindra XUV500 W8 2WD,2014,70963,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,160789050.0
1780,Maruti Wagon R LXI CNG,2013,25755,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5.0,64685250.0
1781,Toyota Innova 2.5 V Diesel 7-seater,2013,51450,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7.0,213564000.0
1782,Maruti Swift VDI,2012,75000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,89327250.0
1785,Honda Amaze VX i-DTEC,2014,97236,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,90354000.0
1791,Mahindra XUV500 W6 2WD,2014,55000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,174547500.0
1792,Toyota Fortuner 4x2 Manual,2012,115000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,266749650.0
1795,Maruti Swift VDI,2016,38143,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,107192700.0
1796,Volkswagen Polo Petrol Highline 1.2L,2012,19030,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5.0,78033000.0
1798,Maruti Swift VXI,2016,23555,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5.0,104728500.0
1800,Maruti Wagon R VXI,2013,61000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,59551500.0
1803,Volkswagen Polo GT TSI,2016,28000,Petrol,Automatic,First,17.21 kmpl,1197 CC,103.5 bhp,5.0,148878750.0
1804,Hyundai Verna 1.6 SX,2014,83558,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,143334300.0
1806,Hyundai EON D Lite Plus,2013,36000,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,40043250.0
1807,Audi A4 2.0 TDI 177 Bhp Premium Plus,2014,21000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,503107500.0
1812,Volkswagen Vento 1.5 TDI Highline,2016,50867,Diesel,Manual,First,20.34 kmpl,1498 CC,103.2 bhp,5.0,163253250.0
1814,Hyundai Elantra CRDi SX,2012,98008,Diesel,Manual,First,22.7 kmpl,1582 CC,126.24 bhp,5.0,128343750.0
1815,Ford Figo Diesel Titanium,2015,36000,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5.0,101648250.0
1818,Hyundai Grand i10 Asta,2014,37000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,71872500.0
1821,Hyundai i20 Magna,2012,37000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,54417750.0
1827,Mahindra XUV500 W8 2WD,2013,87284,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,160173000.0
1831,Chevrolet Cruze LTZ,2013,64000,Diesel,Manual,Second,17.3 kmpl,1998 CC,163.7 bhp,5.0,133477500.0
1832,Hyundai i20 1.2 Magna,2011,82000,Petrol,Manual,Second,18.5 kmpl,1197 CC,80 bhp,5.0,55444500.0
1833,Honda Brio S MT,2012,70000,Petrol,Manual,Second,19.4 kmpl,1198 CC,86.8 bhp,5.0,51337500.0
1836,Hyundai i10 Sportz 1.2,2010,77000,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,5.0,43123500.0
1838,Hyundai i10 Era,2007,70000,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5.0,41070000.0
1839,Maruti Ertiga VDI,2014,79870,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,109862250.0
1840,Honda Amaze S i-Dtech,2013,90000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,78033000.0
1843,Hyundai i10 Sportz 1.2,2009,68000,Petrol,Manual,Third,20.36 kmpl,1197 CC,78.9 bhp,5.0,40043250.0
1852,Maruti Celerio VXI AT,2014,53000,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,78033000.0
1853,Hyundai i10 Sportz,2014,60000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,66738750.0
1854,Renault Duster 85PS Diesel RxL,2015,65668,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5.0,113558550.0
1855,BMW 3 Series 320d,2011,100000,Diesel,Automatic,Second,22.69 kmpl,1995 CC,190 bhp,5.0,223831500.0
1856,Hyundai Grand i10 Sportz,2018,1800,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,104728500.0
1860,Volkswagen Vento Diesel Highline,2013,720000,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,121156500.0
1862,Honda City 1.5 S MT,2011,68000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,73926000.0
1863,BMW 5 Series 2013-2017 520d Luxury Line,2017,19543,Diesel,Automatic,First,18.12 kmpl,1995 CC,190 bhp,5.0,831667500.0
1865,Maruti Ritz LDi,2014,32805,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,73926000.0
1867,Honda City i DTEC SV,2016,55700,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,154423200.0
1870,Toyota Fortuner 3.0 Diesel,2011,60000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,222804750.0
1876,Maruti Swift Dzire VXI,2014,48800,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,87273750.0
1879,Hyundai i20 Magna,2012,100000,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5.0,66738750.0
1886,Hyundai Grand i10 1.2 Kappa Sportz,2018,9434,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,118076250.0
1889,Honda City i VTEC SV,2015,73070,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5.0,121156500.0
1892,Hyundai Creta 1.6 CRDi AT SX Plus,2017,37024,Diesel,Automatic,First,17.01 kmpl,1582 CC,126.2 bhp,5.0,225268950.0
1894,Hyundai EON D Lite Plus,2014,26008,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,40453950.0
1895,Ford Figo Diesel EXI,2010,90000,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5.0,28749000.0
1899,Hyundai i20 1.2 Sportz,2015,42000,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5.0,104728500.0
1901,Mahindra Ssangyong Rexton RX7,2014,62000,Diesel,Automatic,First,11.18 kmpl,2696 CC,184 bhp,7.0,216644250.0
1906,Maruti Swift ZDi,2013,99595,Diesel,Manual,Second,22.9 kmpl,1248 CC,74 bhp,5.0,97541250.0
1911,Maruti Wagon R LXI CNG,2016,77000,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5.0,67765500.0
1918,Audi A4 2.0 TDI,2013,45330,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5.0,270856650.0
1919,Maruti Swift Dzire VXI,2012,88000,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,79059750.0
1921,Mahindra XUV500 W8 4WD,2014,81000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,184815000.0
1922,Chevrolet Beat LT,2012,83381,Petrol,Manual,First,18.6 kmpl,1199 CC,79.4 bhp,5.0,45382350.0
1928,Hyundai Creta 1.6 CRDi AT SX Plus,2016,55100,Diesel,Automatic,First,17.01 kmpl,1582 CC,126.2 bhp,5.0,246420000.0
1929,Audi A4 2.0 TDI 177 Bhp Premium Plus,2014,70000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,369630000.0
1931,Hyundai i10 Magna,2012,58235,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,50310750.0
1933,Volkswagen Vento Diesel Highline,2011,35000,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,64685250.0
1936,Hyundai i20 Asta 1.4 CRDi,2016,44487,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,149905500.0
1937,Maruti Alto LXi,2008,65000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,32650650.0
1938,Hyundai i10 Magna,2015,34951,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,5.0,64685250.0
1946,Maruti Swift VDI,2014,83274,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,118897650.0
1947,Mercedes-Benz New C-Class 220 CDI AT,2017,32324,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5.0,626317500.0
1948,Honda City 1.5 S MT,2011,49999,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,78033000.0
1950,Hyundai i20 Magna,2012,54000,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5.0,67765500.0
1960,Hyundai i10 Sportz 1.2,2010,62000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,43123500.0
1961,Maruti Vitara Brezza ZDi,2016,41372,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,190975500.0
1962,Toyota Innova 2.5 VX (Diesel) 7 Seater,2015,70000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,246420000.0
1964,Maruti Alto LXi BSIII,2006,71993,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,36963000.0
1967,Hyundai Grand i10 Sportz,2016,26038,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,111505050.0
1970,Ford EcoSport 1.5 TDCi Titanium,2017,30453,Diesel,Manual,First,22.77 kmpl,1498 CC,98.59 bhp,5.0,173520750.0
1972,Toyota Fortuner 3.0 Diesel,2011,190000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,266955000.0
1973,Maruti Swift Dzire VXI,2012,65097,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,96514500.0
